analysis	Gene_type	Gene	score_pos	pval_pos	qval_pos	qval_global_pos	fdrGuides_pos	score_neg	pval_neg	qval_neg	fdrGuides_neg
3dpi-vs-0dpi	Gene	S100P	0.965657757	0.522782467	0.931813064	1	32	8.308664585	2.54E-34	2.54E-33	128
3dpi-vs-0dpi	Gene	SHFM1	0.470498893	0.810835186	0.931813064	1	19	12.85551208	6.57E-87	1.31E-85	160
3dpi-vs-0dpi	Gene	SLC31A1	0.215105521	0.90420653	0.931813064	1	6	0.235998526	0.898160104	0.99986297	13
3dpi-vs-0dpi	Gene	TAS2R8	0.251886013	0.893379697	0.931813064	1	0	NA	0.973424464	0.99986297	1
3dpi-vs-0dpi	Gene	TIPRL	0.345581237	0.861882223	0.931813064	1	8	NA	0.970039923	0.99986297	0
3dpi-vs-0dpi	Gene	UBE2L3	0.435399051	0.826231371	0.931813064	1	18	0.323690642	0.869755512	0.99986297	18
3dpi-vs-0dpi	Gene	YWHAQ	0.790364143	0.636376462	0.931813064	1	30	0.038731025	0.945128447	0.99986297	1
6dpi-vs-0dpi	Gene	APIP	0.224091861	0.903704939	0.932964456	1	0	0.010058647	0.951781034	0.999920582	5
6dpi-vs-0dpi	Gene	APLN	1.402243558	0.249687544	0.932964456	1	44	12.96802909	3.88E-90	7.76E-89	162
6dpi-vs-0dpi	Gene	ART1	0.21174422	0.907196983	0.932964456	1	1	0.139277784	0.92582445	0.999920582	10
6dpi-vs-0dpi	Ctrl	BFP2	0.374133755	0.853369552	0.932964456	1	16	0.070178102	0.940787294	0.999920582	5
6dpi-vs-0dpi	Gene	C16orf52	0.286939667	0.884427953	0.932964456	1	15	0.853183096	0.597369587	0.999920582	33
6dpi-vs-0dpi	Gene	C19orf71	0.20679459	0.908570185	0.932964456	1	9	0.559554697	0.770235964	0.999920582	24
6dpi-vs-0dpi	Gene	CLDN3	0.149247772	0.923445851	0.932964456	1	8	0.879264508	0.58033354	0.999920582	34
6dpi-vs-0dpi	Gene	CNPY1	0.511257425	0.794099409	0.932964456	1	23	2.192643503	0.022601317	0.113006586	62
6dpi-vs-0dpi	Gene	CYB5B	0.402179297	0.842286373	0.932964456	1	17	5.397427939	7.65E-14	6.12E-13	104
6dpi-vs-0dpi	Gene	DCUN1D4	0.287578319	0.884218915	0.932964456	1	0	NA	0.967883643	0.999920582	1
6dpi-vs-0dpi	Gene	DUSP28	0.674338578	0.70776655	0.932964456	1	30	1.152519519	0.398928852	0.999920582	42
6dpi-vs-0dpi	Ctrl	ECFP	0.107800299	0.932964456	0.932964456	1	0	0.351817396	0.861806174	0.999920582	15
6dpi-vs-0dpi	Ctrl	EGFP	0.241792493	0.898531952	0.932964456	1	7	0.697165245	0.694462533	0.999920582	29
6dpi-vs-0dpi	Gene	ENSA	0.55645295	0.771813605	0.932964456	1	23	2.641828351	0.002916146	0.016663691	68
6dpi-vs-0dpi	Ctrl	EYFP	0.167161961	0.919026821	0.932964456	1	4	0.40416803	0.841480087	0.999920582	18
6dpi-vs-0dpi	Gene	GPR31	0.212905565	0.906872587	0.932964456	1	6	0.321893346	0.872590114	0.999920582	17
6dpi-vs-0dpi	Gene	HIST1H2BN	1.179581499	0.381491907	0.932964456	1	43	2.9079578	0.000677743	0.004518285	73
6dpi-vs-0dpi	Gene	HPRT1	0.36306067	0.857597965	0.932964456	1	4	NA	0.97818153	0.999920582	2
6dpi-vs-0dpi	Gene	IL6	0.343381485	0.864907403	0.932964456	1	18	0.243441635	0.898039877	0.999920582	10
6dpi-vs-0dpi	Gene	KRTAP6-3	1.076859101	0.448652411	0.932964456	1	33	15.4585828	1.60E-130	6.41E-129	173
6dpi-vs-0dpi	Gene	LAMTOR5	0.316728276	0.874390582	0.932964456	1	15	1.07360894	0.45081248	0.999920582	40
6dpi-vs-0dpi	Gene	LRRC23	1.83819673	0.079631584	0.932964456	1	54	NA	0.970282831	0.999920582	1
6dpi-vs-0dpi	Gene	MEST	0.240403054	0.898945192	0.932964456	1	0	NA	0.957937625	0.999920582	2
6dpi-vs-0dpi	Gene	MMACHC	0.331740559	0.869107971	0.932964456	1	16	0.18428852	0.914624602	0.999920582	9
6dpi-vs-0dpi	Gene	MSC	0.457255289	0.818960816	0.932964456	1	22	0.275619713	0.888088679	0.999920582	13
6dpi-vs-0dpi	Gene	OR2T10	0.34601356	0.863944958	0.932964456	1	7	NA	0.974336138	0.999920582	2
6dpi-vs-0dpi	Gene	OR4N5	0.298225938	0.880694218	0.932964456	1	0	NA	0.968045751	0.999920582	5
6dpi-vs-0dpi	Gene	OR7A10	313.4364366	0	0	0	766	NA	0.999920582	0.999920582	0
6dpi-vs-0dpi	Gene	OSR1	0.190448819	0.912998073	0.932964456	1	2	0.247170854	0.896920744	0.999920582	12
6dpi-vs-0dpi	Gene	PDGFB	0.584658541	0.757245075	0.932964456	1	25	0.117483267	0.930827063	0.999920582	6
6dpi-vs-0dpi	Gene	RAB8B	0.133039608	0.92728376	0.932964456	1	2	0.34633669	0.86382648	0.999920582	18
6dpi-vs-0dpi	Ctrl	RFP	0.181862878	0.915258767	0.932964456	1	7	0.327993133	0.870440798	0.999920582	15
6dpi-vs-0dpi	Gene	RPS8	0.452456917	0.821075019	0.932964456	1	19	0.291492372	0.882931936	0.999920582	12
6dpi-vs-0dpi	Gene	S100P	0.778954869	0.644753198	0.932964456	1	25	6.4460537	2.97E-20	2.97E-19	114
6dpi-vs-0dpi	Gene	SHFM1	0.419494283	0.835175881	0.932964456	1	16	11.91964991	2.10E-75	2.80E-74	153
6dpi-vs-0dpi	Gene	SLC31A1	0.290181845	0.883363974	0.932964456	1	10	0.148724477	0.923572122	0.999920582	9
6dpi-vs-0dpi	Gene	TAS2R8	0.266005077	0.891132187	0.932964456	1	0	NA	0.975974722	0.999920582	1
6dpi-vs-0dpi	Gene	TIPRL	0.334238154	0.86821442	0.932964456	1	4	NA	0.972628177	0.999920582	0
6dpi-vs-0dpi	Gene	UBE2L3	0.2204441	0.904746469	0.932964456	1	10	0.475250971	0.810893161	0.999920582	23
6dpi-vs-0dpi	Gene	YWHAQ	0.474771632	0.811110883	0.932964456	1	20	0.02933825	0.948449023	0.999920582	2
